"C:\Program Files\Python39\python.exe" C:/Users/Admin/PycharmProjects/AdventofCode/2018/Day15.py
Combat ends after 156 full rounds
Goblins win with 2329 total hit points left
Outcome: 156 * 2329 = 363324
         2195368608 function calls (2195368606 primitive calls) in 1487.133 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
    13575    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
     1944    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       45    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
      116    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     4184    0.009    0.000    0.014    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
100470204    7.905    0.000    7.905    0.000 {method 'update' of 'dict' objects}
 25097138    2.081    0.000    2.081    0.000 {method 'values' of 'dict' objects}


Combat ends after 156 full rounds
Goblins win with 2329 total hit points left
Outcome: 156 * 2329 = 363324

Process finished with exit code 0
